cod_ibge,municipio,uf,regiao,populacao,idhm,pib_per_capita,gini,perc_votos_gov,taxa_comparecimento
1003201,Município 3201,GO,Centro-Oeste,5119,0.738,26481,0.45,44.8,0.83
1002472,Município 2472,PR,Sul,18546,0.839,42677,0.4,49.1,0.77
1000280,Município 280,MG,Sudeste,94989,0.697,39994,0.46,53.6,0.91
1003413,Município 3413,PB,Nordeste,2499,0.526,22827,0.57,67.0,0.82
1000419,Município 419,MG,Sudeste,1492,0.627,26551,0.49,49.4,0.85
1004834,Município 4834,RN,Nordeste,133027,0.512,113576,0.48,66.2,0.85
1005201,Município 5201,SE,Nordeste,11406,0.623,19250,0.53,59.8,0.72
1004665,Município 4665,TO,Centro-Oeste,9432,0.855,13339,0.4,47.0,0.85
1003683,Município 3683,PI,Nordeste,2927,0.709,33912,0.48,66.9,0.92
1003553,Município 3553,PB,Nordeste,2662,0.552,28749,0.58,76.5,0.85
1000697,Município 697,MG,Sudeste,9769,0.741,28353,0.44,57.2,0.8
1002837,Município 2837,SC,Sul,1999,0.764,42387,0.47,43.5,0.83
1004401,Município 4401,PA,Norte,6482,0.793,27905,0.49,58.7,0.85
1000577,Município 577,MG,Sudeste,45445,0.694,60411,0.6,44.1,0.75
1000423,Município 423,MG,Sudeste,21541,0.656,36351,0.55,41.5,0.8
1002603,Município 2603,PR,Sul,55728,0.76,19758,0.52,36.1,0.86
1000590,Município 590,MG,Sudeste,186126,0.832,27947,0.44,45.9,0.77
1001335,Município 1335,SP,Sudeste,59219,0.76,20657,0.53,43.1,0.91
1001558,Município 1558,RS,Sul,69944,0.761,30455,0.51,42.5,0.81
1004214,Município 4214,CE,Nordeste,7983,0.681,27391,0.49,54.6,0.78
1001098,Município 1098,SP,Sudeste,6782,0.612,43747,0.5,58.7,0.83
1004384,Município 4384,CE,Nordeste,5223,0.573,64406,0.56,64.7,0.8
1003917,Município 3917,MA,Nordeste,1202,0.612,18768,0.45,62.0,0.83
1002365,Município 2365,BA,Nordeste,15305,0.633,5982,0.45,62.0,0.81
1004460,Município 4460,PA,Norte,116882,0.521,49016,0.59,50.8,0.82
1003741,Município 3741,PI,Nordeste,42130,0.655,72221,0.47,47.5,0.81
1002053,Município 2053,BA,Nordeste,3059,0.508,45048,0.57,58.5,0.87
1002785,Município 2785,PR,Sul,2864,0.748,31730,0.52,51.0,0.77
1005216,Município 5216,SE,Nordeste,5380,0.633,24542,0.44,57.5,0.82
1003636,Município 3636,PI,Nordeste,3504,0.574,22444,0.52,61.4,0.86
1002276,Município 2276,BA,Nordeste,16794,0.723,30738,0.46,66.9,0.81
1003977,Município 3977,MA,Nordeste,10305,0.692,10508,0.54,51.8,0.82
1004267,Município 4267,CE,Nordeste,1000,0.662,35186,0.52,47.5,0.87
1001703,Município 1703,RS,Sul,25265,0.722,39553,0.31,27.9,0.76
1000531,Município 531,MG,Sudeste,38940,0.757,15512,0.55,33.5,0.8
1005474,Município 5474,RO,Norte,9571,0.661,14623,0.45,57.6,0.77
1000585,Município 585,MG,Sudeste,4902,0.624,25633,0.48,48.2,0.82
1002861,Município 2861,SC,Sul,57372,0.868,22294,0.42,41.1,0.77
1004600,Município 4600,TO,Centro-Oeste,9347,0.588,26128,0.54,63.2,0.89
1004523,Município 4523,PA,Norte,12268,0.446,19698,0.5,48.4,0.86
1005340,Município 5340,ES,Sudeste,6867,0.667,77501,0.51,51.0,0.79
1004729,Município 4729,RN,Nordeste,2592,0.463,9418,0.51,55.4,0.83
1003154,Município 3154,GO,Centro-Oeste,1000,0.632,8301,0.41,50.5,0.83
1004542,Município 4542,TO,Centro-Oeste,5541,0.663,8445,0.5,52.5,0.87
1005098,Município 5098,RJ,Sudeste,18619,0.748,81052,0.42,51.1,0.9
1002790,Município 2790,PR,Sul,17583,0.731,60573,0.43,40.5,0.77
1002285,Município 2285,BA,Nordeste,20542,0.681,10504,0.53,45.4,0.84
1000316,Município 316,MG,Sudeste,21264,0.72,21818,0.46,39.8,0.81
1000788,Município 788,MG,Sudeste,10266,0.699,25030,0.46,43.1,0.63
1001787,Município 1787,RS,Sul,10558,0.782,23193,0.34,53.7,0.83
1002324,Município 2324,BA,Nordeste,53726,0.617,4000,0.48,63.7,0.77
1004335,Município 4335,CE,Nordeste,20462,0.605,30060,0.55,52.1,0.94
1003149,Município 3149,GO,Centro-Oeste,6146,0.836,16446,0.57,45.0,0.84
1002772,Município 2772,PR,Sul,1311,0.696,26092,0.5,55.4,0.82
1000912,Município 912,SP,Sudeste,14927,0.737,59086,0.5,40.2,0.83
1001216,Município 1216,SP,Sudeste,1000,0.675,22626,0.47,39.4,0.76
1003327,Município 3327,GO,Centro-Oeste,2019,0.517,14292,0.5,67.3,0.85
1005287,Município 5287,MS,Centro-Oeste,25189,0.725,11878,0.47,42.7,0.81
1003974,Município 3974,MA,Nordeste,19978,0.529,36889,0.42,56.6,0.87
1003818,Município 3818,MA,Nordeste,2875,0.469,49421,0.53,55.5,0.86
1001841,Município 1841,RS,Sul,4873,0.651,19989,0.55,43.2,0.88
1003270,Município 3270,GO,Centro-Oeste,34810,0.791,22562,0.4,48.8,0.76
1005094,Município 5094,RJ,Sudeste,26178,0.865,31999,0.45,41.0,0.75
1000325,Município 325,MG,Sudeste,23628,0.694,42921,0.48,46.9,0.82
1002358,Município 2358,BA,Nordeste,28840,0.597,9137,0.66,48.8,0.7
1004526,Município 4526,PA,Norte,6061,0.721,35926,0.39,43.9,0.8
1002572,Município 2572,PR,Sul,17842,0.729,15818,0.51,41.8,0.89
1000016,Município 16,MG,Sudeste,11337,0.788,20832,0.37,35.9,0.8
1005522,Município 5522,AC,Norte,15262,0.65,18676,0.54,52.8,0.85
1003726,Município 3726,PI,Nordeste,1338,0.611,11865,0.48,55.4,0.85
1000627,Município 627,MG,Sudeste,11439,0.863,37151,0.44,41.9,0.82
1001236,Município 1236,SP,Sudeste,43178,0.727,92112,0.37,41.3,0.84
1001570,Município 1570,RS,Sul,1782,0.668,22118,0.48,58.4,0.84
1000382,Município 382,MG,Sudeste,29636,0.702,62996,0.54,38.9,0.91
1001942,Município 1942,RS,Sul,49303,0.725,56851,0.46,44.8,0.88
1003538,Município 3538,PB,Nordeste,5108,0.634,9917,0.51,50.9,0.76
1001821,Município 1821,RS,Sul,96323,0.635,19825,0.44,58.9,0.8
1003483,Município 3483,PB,Nordeste,78233,0.549,6717,0.54,61.1,0.66
1001865,Município 1865,RS,Sul,5152,0.657,33281,0.39,52.9,0.85
1000085,Município 85,MG,Sudeste,3980,0.686,22128,0.44,39.4,0.77
1002941,Município 2941,SC,Sul,42432,0.706,25525,0.48,47.3,0.91
1004818,Município 4818,RN,Nordeste,9175,0.624,31330,0.58,54.2,0.75
1000469,Município 469,MG,Sudeste,35651,0.682,60524,0.47,43.3,0.78
1004129,Município 4129,PE,Nordeste,6254,0.563,16939,0.48,69.7,0.82
1004011,Município 4011,MA,Nordeste,370429,0.518,20644,0.5,69.1,0.89
1002118,Município 2118,BA,Nordeste,2413,0.546,11187,0.45,64.7,0.88
1004743,Município 4743,RN,Nordeste,28678,0.525,19260,0.53,44.8,0.83
1001814,Município 1814,RS,Sul,1518,0.668,15529,0.51,37.7,0.78
1000169,Município 169,MG,Sudeste,43017,0.683,74209,0.45,54.7,0.83
1002496,Município 2496,PR,Sul,18273,0.712,42639,0.46,53.8,0.8
1002188,Município 2188,BA,Nordeste,2721,0.598,33906,0.49,62.1,0.67
1005450,Município 5450,AM,Norte,12168,0.641,26845,0.44,58.3,0.88
1000320,Município 320,MG,Sudeste,1000,0.682,19276,0.46,37.9,0.78
1001651,Município 1651,RS,Sul,36626,0.756,44258,0.39,33.4,0.82
1002996,Município 2996,SC,Sul,11636,0.662,18739,0.5,48.1,0.91
1003668,Município 3668,PI,Nordeste,49775,0.605,11243,0.56,66.6,0.78
1001362,Município 1362,SP,Sudeste,114028,0.771,18388,0.54,35.9,0.81
1004411,Município 4411,PA,Norte,1446,0.636,63989,0.43,45.5,0.8
1001021,Município 1021,SP,Sudeste,8431,0.73,58788,0.43,36.9,0.83
1003403,Município 3403,PB,Nordeste,2005,0.508,20566,0.58,54.3,0.84
1004351,Município 4351,CE,Nordeste,5841,0.594,19978,0.59,67.9,0.88
1001221,Município 1221,SP,Sudeste,24087,0.712,30100,0.52,39.8,0.83
1002752,Município 2752,PR,Sul,19598,0.731,11967,0.4,45.5,0.83
1003725,Município 3725,PI,Nordeste,1860,0.717,25242,0.51,59.8,0.8
1001486,Município 1486,SP,Sudeste,2888,0.663,18728,0.52,42.9,0.84
1003750,Município 3750,PI,Nordeste,1000,0.566,15501,0.55,49.0,0.77
1004849,Município 4849,MT,Centro-Oeste,1308,0.655,13926,0.64,50.4,0.74
1002517,Município 2517,PR,Sul,8650,0.783,63151,0.37,47.1,0.74
1004550,Município 4550,TO,Centro-Oeste,3406,0.669,29397,0.52,40.6,0.73
1005172,Município 5172,SE,Nordeste,2648,0.493,43631,0.62,82.2,0.82
1001320,Município 1320,SP,Sudeste,6167,0.72,15215,0.51,41.1,0.79
1003246,Município 3246,GO,Centro-Oeste,2349,0.69,19574,0.49,35.8,0.84
1001413,Município 1413,SP,Sudeste,3937,0.678,23179,0.4,48.1,0.79
1003013,Município 3013,SC,Sul,16613,0.674,12954,0.54,39.1,0.81
1000692,Município 692,MG,Sudeste,17046,0.713,21878,0.55,39.3,0.83
1005102,Município 5102,RJ,Sudeste,1000,0.7,19448,0.42,49.2,0.71
1001935,Município 1935,RS,Sul,4619,0.655,9364,0.45,38.4,0.83
1004356,Município 4356,CE,Nordeste,7462,0.509,18681,0.49,53.2,0.81
1002488,Município 2488,PR,Sul,9385,0.787,36099,0.5,41.3,0.8
1001872,Município 1872,RS,Sul,442742,0.835,34727,0.41,38.3,0.82
1003376,Município 3376,PB,Nordeste,9822,0.682,12830,0.45,57.2,0.85
1000830,Município 830,MG,Sudeste,1260,0.624,23987,0.37,56.7,0.83
1003890,Município 3890,MA,Nordeste,9729,0.548,8599,0.46,53.4,0.83
1004558,Município 4558,TO,Centro-Oeste,1805,0.777,21373,0.52,42.0,0.93
1005373,Município 5373,ES,Sudeste,8249,0.778,6130,0.43,44.2,0.75
1005268,Município 5268,MS,Centro-Oeste,14948,0.745,35124,0.54,42.1,0.7
1001927,Município 1927,RS,Sul,17884,0.589,19618,0.45,47.5,0.75
1000133,Município 133,MG,Sudeste,14475,0.631,18803,0.55,36.8,0.88
1001781,Município 1781,RS,Sul,3085,0.737,9239,0.42,41.4,0.87
1002523,Município 2523,PR,Sul,3889,0.732,17069,0.52,45.8,0.93
1000081,Município 81,MG,Sudeste,8274,0.653,12781,0.41,32.1,0.83
1004238,Município 4238,CE,Nordeste,226377,0.525,26828,0.5,47.5,0.73
1002340,Município 2340,BA,Nordeste,4766,0.536,26443,0.57,70.6,0.8
1000965,Município 965,SP,Sudeste,8157,0.761,8753,0.47,41.4,0.94
1000427,Município 427,MG,Sudeste,1000,0.72,12521,0.48,45.9,0.88
1000297,Município 297,MG,Sudeste,4202,0.717,9835,0.47,39.9,0.78
1005025,Município 5025,AL,Nordeste,2146,0.489,4000,0.66,68.2,0.89
1005516,Município 5516,RO,Norte,36328,0.638,31794,0.5,44.0,0.84
1000866,Município 866,SP,Sudeste,4066,0.717,7552,0.45,47.8,0.78
1003632,Município 3632,PI,Nordeste,4229,0.559,28673,0.61,67.8,0.85
1002918,Município 2918,SC,Sul,85338,0.794,31251,0.43,37.2,0.9
1001336,Município 1336,SP,Sudeste,6612,0.75,19478,0.55,41.6,0.82
1000713,Município 713,MG,Sudeste,1477,0.644,13800,0.44,29.0,0.81
1002835,Município 2835,SC,Sul,2862,0.617,12707,0.57,49.9,0.83
1002165,Município 2165,BA,Nordeste,30956,0.467,10508,0.58,55.9,0.73
1004372,Município 4372,CE,Nordeste,33858,0.606,36389,0.58,59.9,0.77
1005181,Município 5181,SE,Nordeste,9170,0.689,18327,0.59,63.2,0.75
1001177,Município 1177,SP,Sudeste,6778,0.718,57591,0.52,58.9,0.86
1002060,Município 2060,BA,Nordeste,36101,0.64,14042,0.51,54.3,0.82
1003681,Município 3681,PI,Nordeste,7041,0.644,16453,0.37,65.5,0.81
1003468,Município 3468,PB,Nordeste,90062,0.565,18717,0.4,51.4,0.86
1000168,Município 168,MG,Sudeste,10758,0.675,35976,0.53,50.0,0.84
1002820,Município 2820,SC,Sul,13956,0.697,16256,0.5,39.5,0.83
1005347,Município 5347,ES,Sudeste,5610,0.602,75182,0.45,47.2,0.88
1000682,Município 682,MG,Sudeste,32972,0.726,12044,0.56,52.2,0.8
1002765,Município 2765,PR,Sul,1804,0.552,39904,0.64,41.1,0.73
1001408,Município 1408,SP,Sudeste,7107,0.628,28529,0.64,47.1,0.77
1002860,Município 2860,SC,Sul,40209,0.724,21376,0.47,39.9,0.79
1004728,Município 4728,RN,Nordeste,8821,0.6,35616,0.54,53.1,0.78
1002237,Município 2237,BA,Nordeste,1000,0.526,9031,0.55,62.4,0.84
1004815,Município 4815,RN,Nordeste,8340,0.515,21288,0.53,52.8,0.74
1002868,Município 2868,SC,Sul,2353,0.732,62891,0.52,32.3,0.81
1003198,Município 3198,GO,Centro-Oeste,70762,0.796,21943,0.55,41.0,0.88
1003857,Município 3857,MA,Nordeste,21612,0.444,27573,0.61,63.2,0.8
1003317,Município 3317,GO,Centro-Oeste,13593,0.691,23347,0.45,57.3,0.86
1002058,Município 2058,BA,Nordeste,3570,0.654,22838,0.5,50.5,0.87
1005261,Município 5261,MS,Centro-Oeste,1000,0.638,20170,0.43,53.7,0.91
1002975,Município 2975,SC,Sul,1000,0.791,31021,0.37,36.5,0.77
1002043,Município 2043,BA,Nordeste,272574,0.66,33294,0.57,44.3,0.78
1004734,Município 4734,RN,Nordeste,5686,0.571,9327,0.5,61.2,0.76
1004273,Município 4273,CE,Nordeste,2873,0.632,15401,0.47,52.5,0.76
1001727,Município 1727,RS,Sul,19925,0.591,18730,0.47,43.6,0.83
1002198,Município 2198,BA,Nordeste,6632,0.611,11185,0.58,55.5,0.97
1005256,Município 5256,MS,Centro-Oeste,40463,0.663,18054,0.47,42.3,0.83
1003072,Município 3072,SC,Sul,10459,0.684,21310,0.55,43.1,0.81
1004263,Município 4263,CE,Nordeste,5459,0.732,17706,0.59,54.1,0.94
1005526,Município 5526,AC,Norte,3271,0.655,40647,0.47,52.2,0.92
1004577,Município 4577,TO,Centro-Oeste,8540,0.761,90270,0.48,64.1,0.84
1000545,Município 545,MG,Sudeste,25124,0.856,34695,0.48,32.8,0.8
1000136,Município 136,MG,Sudeste,7618,0.689,40159,0.4,55.6,0.83
1003027,Município 3027,SC,Sul,10621,0.818,79832,0.42,48.2,0.82
1003480,Município 3480,PB,Nordeste,113781,0.598,7065,0.56,57.2,0.8
1004078,Município 4078,PE,Nordeste,13121,0.611,15402,0.6,59.4,0.83
1002116,Município 2116,BA,Nordeste,5613,0.609,12228,0.58,56.2,0.82
1002742,Município 2742,PR,Sul,20903,0.724,36634,0.59,43.4,0.89
1001838,Município 1838,RS,Sul,28807,0.795,30440,0.37,42.4,0.92
1002073,Município 2073,BA,Nordeste,1038,0.623,22812,0.5,52.5,0.81
1000347,Município 347,MG,Sudeste,23437,0.804,27223,0.49,40.0,0.79
1001174,Município 1174,SP,Sudeste,1000,0.665,27173,0.4,50.8,0.8
1004296,Município 4296,CE,Nordeste,152174,0.616,9162,0.56,51.8,0.79
1001492,Município 1492,SP,Sudeste,7489,0.733,27230,0.4,45.6,0.85
1001091,Município 1091,SP,Sudeste,14648,0.533,16630,0.51,33.9,0.81
1003196,Município 3196,GO,Centro-Oeste,6299,0.71,12399,0.45,39.3,0.87
1003621,Município 3621,PI,Nordeste,5808,0.602,36150,0.45,61.1,0.84
1004450,Município 4450,PA,Norte,1000,0.717,32088,0.53,41.5,0.93
1002289,Município 2289,BA,Nordeste,14688,0.626,47205,0.43,60.8,0.82
1002857,Município 2857,SC,Sul,24893,0.714,41574,0.62,46.8,0.92
1004707,Município 4707,RN,Nordeste,105215,0.646,18108,0.58,53.9,0.88
1000122,Município 122,MG,Sudeste,10155,0.744,27146,0.41,38.3,0.77
1003359,Município 3359,PB,Nordeste,10325,0.455,30789,0.51,59.3,0.72
1002421,Município 2421,PR,Sul,20044,0.741,49993,0.55,45.3,0.89
1004379,Município 4379,CE,Nordeste,35219,0.572,25124,0.47,67.9,0.9
1000882,Município 882,SP,Sudeste,1801,0.815,71520,0.48,36.0,0.87
1001613,Município 1613,RS,Sul,2349,0.618,10134,0.6,50.8,0.91
1005166,Município 5166,RJ,Sudeste,17481,0.735,13902,0.53,42.0,0.75
1004281,Município 4281,CE,Nordeste,22051,0.572,16712,0.51,55.1,0.97
1001074,Município 1074,SP,Sudeste,20079,0.757,10802,0.52,27.1,0.81
1001254,Município 1254,SP,Sudeste,1000,0.767,28096,0.49,50.0,0.72
1001993,Município 1993,RS,Sul,5635,0.52,35398,0.56,41.6,0.79
1003514,Município 3514,PB,Nordeste,82205,0.534,39588,0.53,74.3,0.81
1004245,Município 4245,CE,Nordeste,19699,0.532,10456,0.47,63.0,0.85
1004819,Município 4819,RN,Nordeste,26580,0.609,26087,0.63,51.2,0.89
1002949,Município 2949,SC,Sul,1000,0.674,42162,0.46,52.8,0.82
1005114,Município 5114,RJ,Sudeste,6835,0.689,26756,0.51,35.9,0.83
1002958,Município 2958,SC,Sul,2641,0.648,60584,0.34,55.1,0.76
1002464,Município 2464,PR,Sul,8327,0.696,21376,0.52,52.3,0.79
1001880,Município 1880,RS,Sul,26677,0.784,33765,0.4,56.8,0.82
1001870,Município 1870,RS,Sul,20115,0.808,40320,0.43,49.9,0.81
1003754,Município 3754,PI,Nordeste,6469,0.682,51036,0.45,50.0,0.84
1001545,Município 1545,RS,Sul,2680,0.777,75345,0.44,39.8,0.7
1001026,Município 1026,SP,Sudeste,139953,0.658,31390,0.52,38.6,0.77
1001534,Município 1534,RS,Sul,1000,0.698,16401,0.47,57.1,0.79
1000731,Município 731,MG,Sudeste,12332,0.732,16367,0.45,37.6,0.83
1000334,Município 334,MG,Sudeste,7877,0.668,12888,0.48,39.1,0.81
1002795,Município 2795,PR,Sul,8846,0.744,16658,0.52,34.4,0.79
1000241,Município 241,MG,Sudeste,25035,0.802,34451,0.42,42.6,0.74
1003706,Município 3706,PI,Nordeste,3705,0.577,17428,0.49,57.0,0.78
1005331,Município 5331,ES,Sudeste,244933,0.636,7761,0.61,38.8,0.81
1001790,Município 1790,RS,Sul,2494,0.504,11661,0.46,60.7,0.76
1002639,Município 2639,PR,Sul,146519,0.708,18757,0.41,43.3,0.91
1003397,Município 3397,PB,Nordeste,8667,0.484,7141,0.43,74.6,0.83
1004898,Município 4898,MT,Centro-Oeste,5021,0.786,11921,0.4,50.4,0.79
1001500,Município 1500,RS,Sul,9633,0.737,15780,0.52,52.2,0.92
1004874,Município 4874,MT,Centro-Oeste,40693,0.728,16047,0.41,50.7,0.84
1005081,Município 5081,RJ,Sudeste,5288,0.698,43422,0.53,69.1,0.86
1002804,Município 2804,PR,Sul,1000,0.776,7705,0.43,31.5,0.76
1001515,Município 1515,RS,Sul,67903,0.702,20513,0.45,60.0,0.94
1002192,Município 2192,BA,Nordeste,16151,0.663,33017,0.51,53.0,0.79
1003887,Município 3887,MA,Nordeste,15204,0.576,37586,0.51,63.8,0.74
1005293,Município 5293,MS,Centro-Oeste,2282,0.708,13571,0.45,50.5,0.83
1000374,Município 374,MG,Sudeste,5597,0.768,82897,0.37,42.9,0.86
1002064,Município 2064,BA,Nordeste,18717,0.654,13383,0.48,57.3,0.96
